Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Storage Technology 1,Storage Technology 2,Storage Technology 3,Storage Technology 4,Nameplate Reactive Power Rating,Storage Enclosure Type,Arbitrage,Frequency Regulation,Load Following,Ramping / Spinning Reserve,Co-Located Renewable Firming,Transmission and Distribution Deferral,System Peak Shaving,Load Management,Voltage or Reactive Power Support,Backup Power,Excess Wind and Solar Generation
58489,OCI Solar Power,58537,OCI Alamo Solar I,TX,Bexar,ASTRO,OP,Batteries,BA,IPP Non-CHP,2,1.0,1.0,1.0,8,2016,0.3,1,1,LIB,,,,0,CS,,Y,,,,,,,,,
13781,Northern States Power Co - Minnesota,58579,Laverne Battery,MN,Rock,1,OP,Batteries,BA,Electric Utility,1,1.1,1.0,1.0,1,2013,7.6,1,1,NAB,,,,1.3,CS,,,,,,Y,,,,,
58544,Sierra Nevada Brewing Co,58585,Sierra Nevada Brewing Co,CA,Butte,BESS,OP,Batteries,BA,Industrial CHP,7,0.5,0.5,0.5,2,2017,1,0.5,0.5,LIB,,,,0.5,OT,,,,,,,Y,N,,,
58549,County of Alameda GSA,58625,Santa Rita Jail,CA,Alameda,SRJBA,OS,Batteries,BA,IPP CHP,3,2.0,2.0,2.0,7,2012,4,0.3,0.3,LIB,,,,2,CS,,,,,,,Y,,,,
10071,Kauai Island Utility Cooperative,58639,KRS I Anahola Solar,HI,Kauai,B5B6,OP,Batteries,BA,Electric Utility,1,6.0,6.0,6.0,8,2015,4.6,0.7,6,LIB,,,,6,CS,,Y,,,Y,,,,,Y,Y
10071,Kauai Island Utility Cooperative,58640,KRS II Koloa Solar,HI,Kauai,BESS3,OP,Batteries,BA,Electric Utility,1,1.5,1.5,1.5,6,2014,1,0.7,1.5,PBB,,,,1.5,CS,,Y,,,,,,,,,
15473,Public Service Co of NM,58899,Prosperity Energy Storage Facility,NM,Bernalillo,GEN-2,OP,Batteries,BA,Electric Utility,1,0.8,0.8,0.8,9,2011,1.3,0.5,0.5,PBB,,,,0.8,CS,Y,,,,,,Y,Y,,,Y
14328,Pacific Gas & Electric Co.,59256,Vaca Dixon Battery Storage System,CA,Solano,BAT1,OP,Batteries,BA,Electric Utility,1,2.0,2.0,2.0,1,2013,14,2,2,NAB,,,,2.5,CS,Y,Y,,Y,,,,,,,
14328,Pacific Gas & Electric Co.,59257,Yerba Buena,CA,Santa Clara,YB1,OP,Batteries,BA,Electric Utility,1,4.0,4.0,4.0,11,2013,28,4,4,NAB,,,,5,CS,Y,Y,,Y,,,,,,Y,
17609,Southern California Edison Co,59661,Tehachapi Energy Storage Project,CA,Kern,TSP1,OP,Batteries,BA,Electric Utility,1,8.0,8.0,8.0,4,2016,32,8,8,LIB,,,,4,BL,Y,Y,Y,,Y,,Y,,Y,,N
10000,Kansas City Power & Light Co,59772,KCP&L SmartGrid Innovation Park,MO,Jackson,1,SB,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,6,2012,1,1,1,LIB,,,,1.3,CS,,,,,,,Y,,,,
59712,AES Tait LLC,59949,AES Warrior Run Energy Storage Project,MD,Allegany,BESS1,OP,Batteries,BA,IPP Non-CHP,2,11.0,11.0,11.0,12,2015,3.7,10,10,LIB,,,,10,BL,,Y,,,,,,,,,
49893,Invenergy Services LLC,59957,Grand Ridge Battery Projects,IL,LaSalle,GIVB,OP,Batteries,BA,IPP Non-CHP,2,1.5,1.5,1.5,12,2013,1,1.5,1.5,LIB,,,,0.5,CT,,Y,,,,,,,,,
49893,Invenergy Services LLC,59957,Grand Ridge Battery Projects,IL,LaSalle,GRES,OP,Batteries,BA,IPP Non-CHP,2,31.5,31.5,31.5,3,2015,12.5,31.5,31.5,LIB,,,,0.5,CT,,Y,,,,,,,,,
59718,West Chicago Battery Storage LLC,59959,Elwood Energy Storage Center,IL,DuPage,WCBS,OP,Batteries,BA,IPP Non-CHP,2,19.8,19.8,19.8,10,2015,7.9,19.8,19.8,LIB,,,,0,CS,N,Y,,,,,,,,,
59717,Joliet Battery Storage LLC,59960,Jake Energy Storage Center,IL,Will,JBS,OP,Batteries,BA,IPP Non-CHP,2,19.8,19.8,19.8,9,2015,7.9,19.8,19.8,LIB,,,,0,CS,,Y,,,,,,,,,
733,Appalachian Power Co,59995,AEP Milton NaS,WV,Cabell,1,OP,Batteries,BA,Electric Utility,1,2.0,2.0,2.0,11,2009,2,2,2,NAB,,,,2,CS,,,,,,,,Y,,,
17470,PUD 1 of Snohomish County,60016,MESA 1,WA,Snohomish,A,OP,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,7,2015,0.5,1,1,LIB,,,,0.9,CS,Y,,,,,,Y,Y,,,
17470,PUD 1 of Snohomish County,60016,MESA 1,WA,Snohomish,B,OP,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,2,2016,0.5,1,1,LIB,,,,0.9,CS,Y,,,,,,Y,Y,,,
17470,PUD 1 of Snohomish County,60021,MESA 2,WA,Snohomish,MESA2,OP,Batteries,BA,Electric Utility,1,2.4,2.2,2.2,7,2017,8,2.2,2.2,FLB,,,,2.2,CS,Y,,,,,,Y,Y,,,
59997,Customized Energy Solutions,60213,NA 1(Hagerstown),MD,Washington,MPSHG,OP,Batteries,BA,IPP Non-CHP,2,2.0,2.0,2.0,4,2017,1,2,2,LIB,,,,2,CS,,Y,,,,,,,,,
60947,Tesla Inc.,60231,Genentech-Oceanside,CA,San Diego,BA1,OP,Batteries,BA,IPP Non-CHP,2,2.0,2.0,2.0,4,2016,2,1,1,LIB,,,,1,CS,,,,,,,,Y,,Y,Y
60094,"Clinton Battery Utility, LLC",60297,Clinton Battery,OH,Clinton,1,OP,Batteries,BA,IPP Non-CHP,2,10.0,10.0,10.0,10,2016,4.1,10,10,LIB,,,,3.2,CS,,Y,,,,,,,,,
59209,"Half Moon Ventures, LLC",60299,HMV Minster Energy Storage System,OH,Auglaize,MIN02,OP,Batteries,BA,IPP Non-CHP,2,7.0,7.0,7.0,3,2016,7,7,7,LIB,,,,5.3,CS,,Y,,,,,,Y,Y,,
49893,Invenergy Services LLC,60390,Beech Ridge Energy Storage,WV,Greenbrier,BRES,OP,Batteries,BA,IPP Non-CHP,2,31.5,31.5,31.5,10,2015,12.5,31.5,31.5,LIB,,,,0.5,CT,,Y,,,,,,,,,
15248,Portland General Electric Co,60441,Salem Smart Power Center,OR,Marion,SSPC,SB,Batteries,BA,Electric Utility,1,5.0,5.0,5.0,8,2013,1.3,5,5,LIB,,,,5,BL,,Y,,,Y,,Y,Y,,,
15500,Puget Sound Energy Inc,60444,Glacier Battery Storage,WA,Whatcom,GLA,OP,Batteries,BA,Electric Utility,1,2.0,2.0,2.0,9,2016,4.4,2,2,LIB,,,,2,CT,Y,Y,Y,Y,,,Y,,,Y,
50174,Electric Transmission Texas LLC,60506,ETT Presidio NaS Battery,TX,Presidio,BOB,OP,Batteries,BA,IPP Non-CHP,2,4.0,4.0,4.0,3,2010,4,4,4,NAB,,,,4,BL,,,,,,,,,,Y,
7601,Green Mountain Power Corp,60518,Stafford Hill Solar,VT,Rutland,BA1,OP,Batteries,BA,Electric Utility,1,2.0,2.0,2.0,9,2015,3.4,2,2,LIB,PBB,,,500,CS,,Y,,,,,Y,,,,
60947,Tesla Inc.,60546,KIUC Kapaia PV and BA Storage Project,HI,Kauai,BA1,OP,Batteries,BA,IPP Non-CHP,2,13.0,11.0,11.0,5,2017,27.5,11,11,LIB,,,,7.8,CS,,,,,,,,,,,Y
7140,Georgia Power Co,60561,Cedartown Battery Energy Storage Project,GA,Polk,1,OP,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,10,2015,2,1,1,LIB,,,,1.5,CT,,,N,,Y,Y,Y,Y,N,,Y
10433,Kodiak Electric Assn Inc,60563,Flywheel Energy Storage System Microgrid,AK,Kodiak Island,FESS,OP,Flywheels,FW,Electric Utility,1,2.0,2.0,2.0,9,2015,2,2,2,,,,,2,CS,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
60336,SDGE Batteries,60565,Borrego Springs Energy Storage,CA,San Diego,SES1,OP,Batteries,BA,Electric Utility,1,0.5,0.5,0.5,12,2012,1.5,0.5,0.5,LIB,,,,1.5,CS,N,,,,,,Y,,,N,
60336,SDGE Batteries,60565,Borrego Springs Energy Storage,CA,San Diego,SES2,OP,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,2,2014,3,1,1,LIB,,,,1.5,CS,,,,,,,Y,,,Y,
60336,SDGE Batteries,60566,Pala Energy Storage Yard,CA,San Diego,SES1,OP,Batteries,BA,Electric Utility,1,0.5,0.5,0.5,12,2012,1.5,0.5,0.5,LIB,,,,1.5,CS,,,,,,,Y,,,N,N
60336,SDGE Batteries,60566,Pala Energy Storage Yard,CA,San Diego,SES2,OP,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,8,2015,2,1,1,LIB,,,,1.5,CS,,,,,,,Y,,,N,N
60336,SDGE Batteries,60567,Ortega Highway Energy Storage,CA,Orange,SES1,OP,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,5,2015,3,1,1,LIB,,,,2,CS,,,,,,,Y,Y,,Y,
60336,SDGE Batteries,60567,Ortega Highway Energy Storage,CA,Orange,SES2,OP,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,10,2015,3,1,1,LIB,,,,2,CS,,,,,,,Y,Y,,Y,
60336,SDGE Batteries,60568,Canyon Crest Academy,CA,San Diego,SES,OP,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,10,2014,3,1,1,LIB,,,,1,CS,,,,,,,Y,Y,,Y,
16609,San Diego Gas & Electric Co,60569,El Cajon Energy Storage,CA,San Diego,SES,OP,Batteries,BA,Electric Utility,1,7.5,7.5,7.5,2,2017,30,7.5,7.5,LIB,,,,7.5,CS,Y,,,,,,,,,Y,
16609,San Diego Gas & Electric Co,60570,Escondido Energy Storage,CA,San Diego,SES,OP,Batteries,BA,Electric Utility,1,30.0,30.0,30.0,3,2017,120,30,30,LIB,,,,30,CS,Y,,,,,,,,,,
60947,Tesla Inc.,60607,CMEEC - Polaris Park Solar,CT,New London,BA1,OP,Batteries,BA,IPP Non-CHP,2,0.8,0.8,0.8,8,2017,3.3,0.8,0.8,LIB,,,,1,CS,,,,,,,,,,,Y
60947,Tesla Inc.,60609,CMEEC - Norwich Stott St Solar,CT,New London,BA1,OP,Batteries,BA,IPP Non-CHP,2,0.8,0.8,0.8,12,2016,3,0.8,0.8,LIB,,,,1,CS,,,,,,,N,,,Y,Y
9324,Indiana Michigan Power Co,60617,AEP Churubusco NaS,IN,Whitley,1,OP,Batteries,BA,Electric Utility,1,2.0,2.0,2.0,1,2009,2,2,2,NAB,,,,2,CS,,,,,,,,Y,,,
14006,Ohio Power Co,60618,AEP Bluffton NaS,OH,Allen,1,OP,Batteries,BA,Electric Utility,1,2.0,2.0,2.0,12,2008,2,2,2,NAB,,,,2,CS,,,,,,,,Y,,,
57170,"EDF Renewable Asset Holdings, Inc.",60656,McHenry Battery Storage,IL,McHenry,MCH1,OP,Batteries,BA,IPP Non-CHP,2,19.8,19.8,19.8,2,2016,7.8,19.8,19.8,LIB,,,,6.1,CS,,Y,,,,,,,,,
60394,"Willey Battery Utility, LLC",60660,Willey Battery Utility,OH,Hamilton,WBU,OP,Batteries,BA,IPP Non-CHP,2,6.0,6.0,6.0,1,2016,2,6,6,LIB,,,,0,CS,,Y,,,,,,,,,
17609,Southern California Edison Co,60661,Mira Loma Energy Storage Facility,CA,San Bernardino,013A,OP,Batteries,BA,Electric Utility,1,10.0,10.0,10.0,12,2016,40,10,10,LIB,,,,3.3,CS,Y,Y,Y,Y,,Y,Y,Y,Y,,
17609,Southern California Edison Co,60661,Mira Loma Energy Storage Facility,CA,San Bernardino,013B,OP,Batteries,BA,Electric Utility,1,10.0,10.0,10.0,12,2016,40,10,10,LIB,,,,3.3,CS,Y,Y,Y,Y,,Y,Y,Y,Y,,
20169,Avista Corp,60675,Turner Energy Storage Project,WA,Whitman,TES,OP,Batteries,BA,Electric Utility,1,1.2,1.2,1.2,4,2014,3.2,1.2,1.2,FLB,,,,1,CS,Y,Y,Y,Y,Y,,Y,Y,Y,,Y
60409,"Blue Summit Storage, LLC",60690,"Blue Summit Storage, LLC",TX,Wilbarger,WBSS,OP,Batteries,BA,IPP Non-CHP,2,30.0,30.0,30.0,8,2017,12.6,30,30,LIB,,,,12.5,CS,,Y,,,,,,,,,
61198,esVolta LP,60760,Millikan BESS,CA,Orange,PE101,OP,Batteries,BA,IPP Non-CHP,2,2.0,2.0,2.0,12,2016,8,2,2,LIB,,,,2,BL,Y,Y,,,,,N,,,,
58702,Fluence,60811,AES ADA Energy Storage Array,PA,Montgomery,ADA,OP,Batteries,BA,IPP Non-CHP,2,2.0,2.0,2.0,10,2013,0.3,2,2,LIB,,,,2,CS,,N,,Y,,,,,,,
60947,Tesla Inc.,60815,Hampshire College,MA,Hampshire,BA1,OP,Batteries,BA,IPP Non-CHP,2,0.5,0.5,0.5,5,2017,0.5,0.3,0.3,LIB,,,,0.3,CS,,,,,,,Y,,,Y,Y
60947,Tesla Inc.,60815,Hampshire College,MA,Hampshire,BA2,OP,Batteries,BA,IPP Non-CHP,2,0.5,0.5,0.5,12,2017,0.5,0.3,0.3,LIB,,,,0.3,CS,,,,,,,Y,,,Y,Y
58375,Sterling Municipal Light Department,60959,Chocksett Rd Energy Storage Project,MA,Worcester,BA1,OP,Batteries,BA,Electric Utility,1,2.0,3.9,3.9,4,2017,3.9,2,2,LIB,,,,1,CS,,,,,,,,,,Y,
7294,City of Glendale - (CA),60974,Glendale Battery Energy Storage System,CA,Los Angeles,2BESS,OP,Batteries,BA,Electric Utility,1,2.0,2.0,2.0,10,2017,1,1,2,LIB,,,,2,CS,,,,,,Y,,,,,
60633,"Iron Horse Battery Storage, LLC",60996,Iron Horse Battery Storage,AZ,Pima,BA1,OP,Batteries,BA,IPP Non-CHP,2,10.0,10.0,10.0,4,2017,2.5,10,10,LIB,,,,10,CS,,Y,,,,,,,,,Y
60723,VRF Battery Plant,61107,Vanadium Redox Flow Battery Plant,CA,San Diego,VRF,OP,Batteries,BA,Electric Utility,1,2.0,2.0,2.0,6,2017,8,2,2,FLB,,,,2.3,CS,,Y,Y,,Y,,Y,Y,Y,,N
60834,Pima Energy Storage System,61197,Pima Energy Storage System,AZ,Pima,PIMA,OP,Batteries,BA,IPP Non-CHP,2,10.0,10.0,10.0,1,2017,2.5,8,10,LIB,,,,2.9,CS,,Y,,,,,,,,,
54888,NRG Texas Power LLC,61362,NRG Elbow Creek Energy Storage Project,TX,Howard,ECBS,OP,Batteries,BA,IPP Non-CHP,2,2.0,2.0,2.0,11,2017,0.7,2,2,LIB,,,,2,CS,Y,Y,,,,,,,,,N
15466,Public Service Co of Colorado,61439,Panasonic Carport Solar,CO,Adams,PANBS,OP,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,8,2017,2.2,1,1,LIB,,,,1,CS,Y,Y,,Y,,,,,,Y,
61091,Hopewell Valley High School,61473,Hopewell Valley High School,NJ,Mercer,BA1,OP,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,12,2015,1,0.5,0.5,LIB,,,,0,BL,,,,,,,,,,,Y
13478,"Entergy New Orleans, LLC",61647,New Orleans Solar Power Plant,LA,Orleans,NOSPB,OP,Batteries,BA,Electric Utility,1,0.5,0.5,0.5,6,2016,0.5,0.5,0.5,LIB,,,,0.4,CS,,Y,,,Y,,,Y,Y,,Y
17833,City Utilities of Springfield - (MO),61679,Cox Battery Energy Storage,MO,Greene,1,OP,Batteries,BA,Electric Utility,1,1.2,1.2,1.2,9,2017,1.5,1.2,1,PBB,,,,1.2,CS,,,,,,,,Y,,,
61364,Lockheed Martin RMS Syracuse,61739,Lockheed Martin RMS Syracuse,NY,Onondaga,SYR1,OP,Batteries,BA,Industrial Non-CHP,6,1.0,1.0,1.0,8,2017,1.3,1,1,LIB,,,,1,CS,Y,,,,,,Y,Y,,,
1015,Austin Energy,61742,System Control Center,TX,Travis,GEN1,SB,Flywheels,FW,Electric Utility,1,2.5,2.5,2.5,6,2012,2.5, , ,,,,, ,CS,,,,,,,,,,Y,
1015,Austin Energy,61742,System Control Center,TX,Travis,GEN2,SB,Flywheels,FW,Electric Utility,1,2.5,2.5,2.5,6,2012,2.5, , ,,,,, ,CS,,,,,,,,,,Y,
19547,Hawaiian Electric Co Inc,61851,Campbell Industrial Park BESS,HI,Honolulu,CIPB1,OP,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,3,2016,0.3,1,1,LIB,,,,1,CS,,,Y,,Y,,,,Y,,
61513,"Redstone Solar I, LLC",61901,Redstone Arsenal,AL,Madison,BA,OP,Batteries,BA,IPP Non-CHP,2,1.0,1.0,1.0,12,2017,2,0.5,0.5,LIB,,,,1,CS,Y,,,,,,,,,,Y
