Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Storage Technology 1,Storage Technology 2,Storage Technology 3,Storage Technology 4,Nameplate Reactive Power Rating,Storage Enclosure Type,Arbitrage,Frequency Regulation,Load Following,Ramping / Spinning Reserve,Co-Located Renewable Firming,Transmission and Distribution Deferral,System Peak Shaving,Load Management,Voltage or Reactive Power Support,Backup Power,Excess Wind and Solar Generation
13683,North Carolina El Member Corp,6377,Ocracoke Hybrid,NC,Hyde,BAT,OP,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,1,2017,1,0.5,0.5,LIB,,,,0.5,CS,Y,,,,,,,Y,,,
17609,Southern California Edison Co,6704,Pebbly Beach Generating Station Hybrid,CA,Los Angeles,NASB1,OP,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,8,2012,6.8,1,1,NAB,,,,0.8,CS,,,,Y,,,Y,Y,Y,,
189,PowerSouth Energy Cooperative,7063,McIntosh (AL),AL,Washington,1,OP,Natural Gas with Compressed Air Storage,CE,Electric Utility,1,110.0,110.0,110.0,6,1991,110,52,110,,,,,0.9,BL,,,Y,,,,Y,Y,Y,,
55983,Luminant Generation Company LLC,8063,DeCordova Steam Electric Station,TX,Hood,BESS,OP,Batteries,BA,IPP Non-CHP,2,269.1,260.0,260.0,7,2022,263,263,263,LIB,,,,137,CS,,Y,Y,Y,,,,,,,
54736,"VESI Pomona Energy Storage, Inc.",50300,VESI Pomona,CA,Los Angeles,BESS1,OP,Batteries,BA,IPP Non-CHP,2,20.0,20.0,20.0,12,2016,20,20,20,LIB,,,,20,BL,,Y,Y,,,,,,,,
7595,Great Lakes Hydro America LLC,54134,Great Lakes Hydro America - ME,ME,Penobscot,BES1,OP,Batteries,BA,IPP Non-CHP,2,10.0,9.4,9.4,12,2020,10,4,5,LIB,,,,18.2,CS,Y,Y,Y,Y,,,,,Y,,
7595,Great Lakes Hydro America LLC,54134,Great Lakes Hydro America - ME,ME,Penobscot,BES2,OP,Batteries,BA,IPP Non-CHP,2,10.0,9.4,9.4,12,2020,10,4,5,LIB,,,,18.2,CS,Y,Y,Y,Y,,,,,Y,,
1752,Biola University,54296,Biola University Hybrid,CA,Los Angeles,BATT,OP,Batteries,BA,Commercial CHP,5,0.3,0.3,0.3,2,2018,0.5,0.3,0.3,LIB,,,,0.3,CS,,,,,,,Y,,,,
6862,"Green Mountain Storage, LLC",55370,"Green Mountain Storage, LLC",PA,Somerset,BGM,OP,Batteries,BA,IPP Non-CHP,2,10.4,10.4,10.4,5,2016,10.4,10.4,10.4,LIB,,,,10.4,CT,,Y,,,,,,,,,
17609,Southern California Edison Co,56472,Grapeland Hybrid,CA,San Bernardino,BA1,OP,Batteries,BA,Electric Utility,1,10.0,10.0,10.0,12,2016,10,10,10,LIB,,,,6,BL,N,Y,,Y,N,N,,,,,
17609,Southern California Edison Co,56475,Center Hybrid,CA,Los Angeles,BA1,OP,Batteries,BA,Electric Utility,1,10.0,10.0,10.0,12,2016,10,10,10,LIB,,,,6,BL,N,Y,,Y,N,N,,,,,
56023,Arizona Solar One LLC,56812,Solana Generating Station,AZ,Maricopa,GEN 1,OP,Solar Thermal with Energy Storage,CP,IPP Non-CHP,2,140.0,147.8,147.8,10,2013, , , ,,,,, ,,,,,,,,,Y,,,Y
56023,Arizona Solar One LLC,56812,Solana Generating Station,AZ,Maricopa,GEN2,OP,Solar Thermal with Energy Storage,CP,IPP Non-CHP,2,140.0,147.8,147.8,10,2013, , , ,,,,, ,,,,,,,,,Y,,,Y
65411,Duke Energy Renewables Services,56961,Notrees Windpower Hybrid,TX,Ector,BATT,OP,Batteries,BA,IPP Non-CHP,2,36.0,36.0,36.0,12,2012,13.6,36,36,LIB,,,,36,BL,N,Y,,,N,N,,,,,
56215,"RWE Renewables Americas, LLC",56981,Pyron Wind Farm LLC Hybrid,TX,Fisher,PYRBT,OP,Batteries,BA,IPP Non-CHP,2,9.9,9.9,9.9,1,2018,9.9,9.9,9.9,LIB,,,,3.3,CS,,Y,,,,,,,,,
56215,"RWE Renewables Americas, LLC",56984,Inadale Wind Farm LLC Hybrid,TX,Nolan,INABT,OP,Batteries,BA,IPP Non-CHP,2,9.9,9.9,9.9,1,2018,9.9,9.9,9.9,LIB,,,,3.3,CS,,Y,,,,,,,,,
55963,AE Power Services LLC,57045,Rolling Thunder Wind Farm Hybrid,SD,Hand,2,OP,Batteries,BA,IPP Non-CHP,2,0.8,0.8,0.8,11,2018,0.8,0.3,0.3,LIB,,,,0.3,OT,,,,,,,,,,Y,Y
59155,"Evergreen Wind, LLC",57082,Kaheawa Wind Power II LLC,HI,Maui,2,OP,Batteries,BA,IPP Non-CHP,2,10.0,10.0,10.0,6,2012,20,10,10,LIB,,,,10,BL,,Y,Y,Y,Y,,,,Y,Y,Y
19558,Homer Electric Assn Inc,57206,Soldotna,AK,Kenai Peninsula,3,OP,Batteries,BA,Electric Utility,1,46.5,46.5,46.5,1,2022,93,46.5,46.5,LIB,,,,14,CS,,Y,,Y,,,,Y,,,
62893,Mililani I Solar LLC,57242,Mililani South Solar Farm,HI,Honolulu,2,OP,Batteries,BA,IPP Non-CHP,2,39.0,39.0,39.0,7,2022,156,39,39,LIB,,,,156,CS,,,,,,,,,,,Y
56641,Tonopah Solar Energy LLC,57275,Crescent Dunes Solar Energy,NV,Nye,TSE-1,OP,Solar Thermal with Energy Storage,CP,IPP Non-CHP,2,125.0,110.0,110.0,11,2015, , , ,,,,, ,,,,,,,,,,,,
56678,FPL Energy Illinois Wind LLC,57325,FPL Energy Illinois Wind LLC Hybrid,IL,DeKalb,BFT,OP,Batteries,BA,IPP Non-CHP,2,20.0,20.0,20.0,11,2014,8.3,20,20,LIB,,,,20,CS,,Y,,,,,,,,,
61012,AES Distributed Energy,57447,Laurel Mountain Hybrid,WV,Barbour,2,OP,Batteries,BA,IPP Non-CHP,2,16.0,16.0,16.0,10,2011,16,16,16,LIB,,,,0.9,CS,,Y,,,,,,,,,Y
7353,Golden Valley Elec Assn Inc,57583,Battery Energy Storage System,AK,Fairbanks North Star,BESS,OP,Batteries,BA,Electric Utility,1,40.0,40.0,40.0,12,2003,11,4,40,NIB,,,,46,BL,,Y,,Y,,,,,Y,,
56918,University of California San Diego,57584,University of California San Diego Hybrid,CA,San Diego,BS1,OP,Batteries,BA,Commercial CHP,5,2.5,2.5,2.5,12,2015,5,2.5,2.5,LIB,,,,2.5,CS,,,Y,,,,Y,Y,,,
61978,Convergent Energy and Power LP,57710,Stephentown Spindle,NY,Rensselaer,SRS1,OP,Flywheels,FW,IPP Non-CHP,2,20.0,20.0,20.0,1,2011,5,20,20,,,,,6.4,CS,,Y,,,,,,,,,
61978,Convergent Energy and Power LP,57716,Hazle Spindle,PA,Luzerne,HRS1,OP,Flywheels,FW,IPP Non-CHP,2,20.0,20.0,20.0,9,2013,5,20,20,,,,,6.4,CS,,Y,,,,,,,,,
57372,Auwahi Wind Energy LLC,57996,Auwahi Wind Energy Hybrid,HI,Maui,AWEB,OP,Batteries,BA,IPP Non-CHP,2,11.0,11.0,11.0,12,2012,4.4,11,11,LIB,,,,5.4,CS,,Y,,Y,,,,,,,
9417,Interstate Power and Light Co,58236,Marshalltown Generating Station,IA,Marshall,BESS1,OP,Batteries,BA,Electric Utility,1,0.3,0.3,0.3,10,2020,0.6,0.3,0.3,LIB,,,,0.1,CS,,,,,Y,,,Y,,,Y
10433,Kodiak Electric Assn Inc,58405,ESS Battery Microgrid,AK,Kodiak Island,1,OP,Batteries,BA,Electric Utility,1,3.0,3.0,3.0,11,2012,3,3,3,LIB,,,,3,CS,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
58451,"McCoy Solar, LLC",58462,McCoy Solar Energy Project Hybrid,CA,Riverside,MCST1,OP,Batteries,BA,IPP Non-CHP,2,230.0,230.0,230.0,7,2021,920,230,230,LIB,,,,250.4,CS,Y,Y,,Y,,,,Y,Y,,Y
58462,Battery Utility of Ohio LLC,58475,Battery Utility of Ohio,OH,Delaware,BOU,OA,Batteries,BA,IPP Non-CHP,2,4.0,4.0,4.0,3,2014,2,4,4,LIB,,,,4,CS,,Y,,,,,,,,,
58544,Sierra Nevada Brewing Co,58585,Sierra Nevada Brewing Co Hybrid,CA,Butte,BESS,OP,Batteries,BA,Industrial CHP,7,0.5,0.5,0.5,2,2017,1,0.5,0.5,LIB,,,,0.5,OT,,,,,,,Y,,,,Y
58549,County of Alameda GSA,58625,Santa Rita Jail Hybrid,CA,Alameda,SRJBA,OS,Batteries,BA,IPP CHP,3,2.0,2.0,2.0,7,2012,4,0.3,0.3,LIB,,,,2,CS,,,,,,,Y,,,,
15473,Public Service Co of NM,58899,Prosperity Energy Storage Facility Hybrid,NM,Bernalillo,GEN-2,OP,Batteries,BA,Electric Utility,1,0.8,0.8,0.8,9,2011,1.3,0.5,0.5,PBB,,,,0.8,CS,Y,,,,,,Y,Y,,,Y
61944,MN8 Energy LLC,59150,RE Mustang LLC,CA,Kings,BESS1,OP,Batteries,BA,IPP Non-CHP,2,75.0,75.0,75.0,10,2021,75,75,75,LIB,,,,75,CS,,,,,,,,,,,Y
59098,"Northwest Ohio Wind, LLC",59296,Northwest Ohio Wind,OH,Paulding,NWO-B,OP,Batteries,BA,IPP Non-CHP,2,0.8,0.8,0.8,3,2021,3.8,0.2,0.2,LIB,,,,1,CS,Y,,,,Y,,Y,Y,,Y,Y
10000,Evergy Metro,59772,KCP&L SmartGrid Innovation Park,MO,Jackson,1,OA,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,6,2012,1,1,1,LIB,,,,1.3,CS,,,,,,,Y,,,,
59598,Tooele Army Depot,59817,Tooele Army Depot(CSG),UT,Tooele,BATT1,OS,Batteries,BA,IPP Non-CHP,2,1.0,1.0,1.0,10,2020,1,1,1,LIB,,,,600,CS,,,,,,,Y,,,,Y
17650,Southern Power Co,59939,RE Tranquillity,CA,Fresno,BESS1,OP,Batteries,BA,IPP Non-CHP,2,37.0,37.0,37.0,11,2021,128,32,32,LIB,,,,10.5,CS,,Y,,Y,,,,Y,Y,,
17650,Southern Power Co,59939,RE Tranquillity,CA,Fresno,BESS2,OP,Batteries,BA,IPP Non-CHP,2,35.0,35.0,35.0,3,2022,160,35,35,LIB,,,,13.2,CS,,Y,,Y,,,,Y,Y,,
59712,AES Tait LLC,59949,AES Warrior Run Energy Storage Project,MD,Allegany,BESS1,OP,Batteries,BA,IPP Non-CHP,2,11.0,5.0,5.0,12,2015,5,5,5,LIB,,,,5,BL,,Y,,,,,,,,,
49893,Invenergy Services LLC,59957,Grand Ridge Battery Projects,IL,LaSalle,GIVB,OP,Batteries,BA,IPP Non-CHP,2,4.5,4.5,4.5,12,2013,1,1.5,1.5,LIB,,,,0.5,CT,,Y,,,,,,,,,
49893,Invenergy Services LLC,59957,Grand Ridge Battery Projects,IL,LaSalle,GRES,OP,Batteries,BA,IPP Non-CHP,2,31.5,31.5,31.5,3,2015,12.5,31.5,31.5,LIB,,,,0.5,CT,,Y,,,,,,,,,
6452,Florida Power & Light Co,59993,Babcock Solar Energy Center Hybrid,FL,Charlotte,BA,OP,Batteries,BA,Electric Utility,1,10.0,10.0,10.0,3,2018,40,10,10,LIB,,,,7,CS,,,,,Y,,,,,,Y
6452,Florida Power & Light Co,60014,Manatee Solar Energy Center,FL,Manatee,BMS,OP,Batteries,BA,Electric Utility,1,409.0,409.0,409.0,11,2021,900,74.5,409,LIB,,,,134,CS,,Y,,Y,,,Y,,,,
17470,PUD 1 of Snohomish County,60016,MESA 1,WA,Snohomish,A,OA,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,7,2015,0.5,1,1,LIB,,,,0.9,CS,Y,,,,,,Y,Y,,,
17470,PUD 1 of Snohomish County,60016,MESA 1,WA,Snohomish,B,OA,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,2,2016,0.5,1,1,LIB,,,,0.9,CS,Y,,,,,,Y,Y,,,
6452,Florida Power & Light Co,60061,Citrus Solar Energy Center Hybrid,FL,DeSoto,BA,OP,Batteries,BA,Electric Utility,1,4.0,4.0,4.0,3,2018,16,4,4,LIB,,,,16,CS,,,,,Y,,,,,,Y
59843,"Blythe Solar II, LLC",60092,"Blythe Solar II, LLC",CA,Riverside,BLST2,OP,Batteries,BA,IPP Non-CHP,2,115.0,115.0,115.0,3,2021,538.6,115,115,LIB,,,,126.9,CS,Y,Y,,Y,,,,Y,Y,,Y
59842,"Blythe Solar 110, LLC",60093,"Blythe Solar 110, LLC",CA,Riverside,BES1,OP,Batteries,BA,IPP Non-CHP,2,63.0,63.0,63.0,6,2021,301.2,63,63,LIB,,,,68.6,CS,Y,Y,,Y,,,,Y,Y,,Y
59844,"Blythe Solar III, LLC",60094,"Blythe Solar III, LLC Hybrid",CA,Riverside,BLST3,OP,Batteries,BA,IPP Non-CHP,2,115.0,115.0,115.0,5,2021,538.6,115,115,LIB,,,,126.9,CS,Y,Y,,Y,,,,Y,Y,,Y
61123,Upton County Solar 2 LLC,60123,Castle Gap Solar Hybrid,TX,Upton,BAT1,OP,Batteries,BA,IPP Non-CHP,2,9.9,9.9,9.9,6,2019,42,9.9,9.9,LIB,,,,4.8,CS,,Y,Y,,,,,,,,Y
60947,Tesla Inc.,60231,Genentech-Oceanside Hybrid,CA,San Diego,BA1,OP,Batteries,BA,IPP Non-CHP,2,2.0,2.0,2.0,4,2016,2,1,1,LIB,,,,1,CS,,,,,,,,Y,,Y,Y
17650,Southern Power Co,60233,RE Garland,CA,Kern,BESS1,OP,Batteries,BA,IPP Non-CHP,2,45.0,45.0,45.0,8,2021,176,44,44,LIB,,,,14.5,CS,,Y,,Y,,,,Y,Y,,
17650,Southern Power Co,60233,RE Garland,CA,Kern,BESS2,OP,Batteries,BA,IPP Non-CHP,2,43.0,43.0,43.0,12,2021,176,43,43,LIB,,,,14.5,CS,,Y,,Y,,,,Y,Y,,
60038,Silicon Valley Clean Water,60249,Silicon Valley Clean Water,CA,San Mateo,BES,OP,Batteries,BA,IPP CHP,3,1.0,1.0,1.0,11,2020,2,1,1,LIB,,,,1,CS,,,,,,,Y,,,,
60094,"Clinton Battery Utility, LLC",60297,Clinton Battery,OH,Clinton,1,OP,Batteries,BA,IPP Non-CHP,2,10.0,5.0,5.0,10,2016,4.1,5,5,LIB,,,,3.2,CS,,Y,,,,,,,,,
59209,Concord New Energy,60299,HMV Minster Energy Storage System,OH,Auglaize,MIN02,OS,Batteries,BA,IPP Non-CHP,2,7.0,7.0,7.0,3,2016,7,7,7,LIB,,,,5.3,CS,,Y,,,,,,Y,Y,,
49893,Invenergy Services LLC,60390,Beech Ridge Energy Storage,WV,Greenbrier,BRES,OP,Batteries,BA,IPP Non-CHP,2,31.5,31.5,31.5,10,2015,12.5,31.5,31.5,LIB,,,,0.5,CT,,Y,,,,,,,,,
15248,Portland General Electric Co,60441,Salem Smart Power Center,OR,Marion,SSPC,SB,Batteries,BA,Electric Utility,1,5.0,5.0,5.0,8,2013,5,5,5,LIB,,,,5,BL,,Y,,,Y,,Y,Y,,,
15500,Puget Sound Energy Inc,60444,Glacier Battery Storage,WA,Whatcom,GLA,OP,Batteries,BA,Electric Utility,1,2.0,2.0,2.0,9,2016,4.4,2,2,LIB,,,,2,CT,Y,Y,Y,Y,,,Y,,,Y,
60278,64KT 8me LLC,60491,Springbok 3 Solar Farm Hybrid,CA,Kern,SB3BS,OP,Batteries,BA,IPP Non-CHP,2,1.5,1.5,1.5,7,2019,1.5,1.5,1.5,LIB,,,,1.5,CT,,Y,,,,,,,Y,,Y
50174,Electric Transmission Texas LLC,60506,ETT Presidio NaS Battery,TX,Presidio,BOB,OP,Batteries,BA,Electric Utility,1,4.0,4.0,4.0,3,2010,4,4,4,NAB,,,,4,BL,,,,,,,,,,Y,
7601,Green Mountain Power Corp,60518,Stafford Hill Solar Hybrid,VT,Rutland,BA1,OP,Batteries,BA,Electric Utility,1,2.0,2.0,2.0,9,2015,3.4,2,2,LIB,PBB,,,0.5,CS,,Y,,,,,Y,,,,Y
60947,Tesla Inc.,60546,KIUC Kapaia PV and BA Storage Project Hybrid,HI,Kauai,BA1,OP,Batteries,BA,IPP Non-CHP,2,13.0,11.0,11.0,5,2017,52,11,11,LIB,,,,7.8,CS,,,,,,,,,,,Y
7601,Green Mountain Power Corp,60562,GMP Solar - Panton Hybrid,VT,Addison,GMPBP,OP,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,6,2018,4,1,1,LIB,,,,1,OT,,Y,,,,,Y,,,,Y
10433,Kodiak Electric Assn Inc,60563,Flywheel Energy Storage System Microgrid,AK,Kodiak Island,FESS,OP,Flywheels,FW,Electric Utility,1,2.0,2.0,2.0,9,2015,2,2,2,,,,,2,CS,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
60336,SDGE Batteries,60565,Borrego Springs Energy Storage,CA,San Diego,SES1,OP,Batteries,BA,Electric Utility,1,0.5,0.5,0.5,12,2012,1.5,0.5,0.5,LIB,,,,1.5,CS,N,,,,,,Y,,,,Y
60336,SDGE Batteries,60565,Borrego Springs Energy Storage,CA,San Diego,SES2,OP,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,2,2014,3,1,1,LIB,,,,1.5,CS,,,,,,,Y,,,Y,Y
60336,SDGE Batteries,60566,Pala Energy Storage Yard,CA,San Diego,SES2,OS,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,8,2015,2,1,1,LIB,,,,1.5,CS,,,,,,,Y,,,,
60336,SDGE Batteries,60567,Ortega Highway Energy Storage,CA,Orange,SES1,OP,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,5,2015,3,1,1,LIB,,,,2,CS,,,,,,,Y,Y,,Y,
60336,SDGE Batteries,60567,Ortega Highway Energy Storage,CA,Orange,SES2,OA,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,10,2015,3,1,1,LIB,,,,2,CS,,,,,,,Y,Y,,Y,
60336,SDGE Batteries,60568,Canyon Crest Academy,CA,San Diego,SES,OP,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,10,2014,3,1,1,LIB,,,,1,CS,,,,,,,Y,Y,,Y,Y
16609,San Diego Gas & Electric Co,60569,El Cajon Energy Storage,CA,San Diego,SES,OP,Batteries,BA,Electric Utility,1,7.5,7.5,7.5,2,2017,30,7.5,7.5,LIB,,,,7.5,CS,Y,,Y,Y,,,,,,N,
16609,San Diego Gas & Electric Co,60570,Escondido Energy Storage,CA,San Diego,SES,OP,Batteries,BA,Electric Utility,1,30.0,30.0,30.0,3,2017,120,30,30,LIB,,,,30,CS,Y,,Y,Y,,,,,,N,N
60947,Tesla Inc.,60607,CMEEC - Polaris Park Solar Hybrid,CT,New London,BA1,OP,Batteries,BA,IPP Non-CHP,2,0.8,0.8,0.8,8,2017,3.3,0.8,0.8,LIB,,,,1,CS,,,,,,,,,,,Y
60947,Tesla Inc.,60609,CMEEC - Norwich Stott St Solar Hybrid,CT,New London,BA1,OP,Batteries,BA,IPP Non-CHP,2,0.8,0.8,0.8,12,2016,3,0.8,0.8,LIB,,,,1,CS,,,,,,,,,,Y,Y
61978,Convergent Energy and Power LP,60641,Henrietta D Energy Storage LLC,CA,Kings,HDES1,OP,Batteries,BA,IPP Non-CHP,2,10.0,10.0,10.0,11,2021,40,10,10,LIB,,,,10,CS,Y,Y,,,,,,,,,
60389,Rabbit Hill Energy Storage Project,60649,Rabbit Hill Energy Storage Project,TX,Williamson,1,OP,Batteries,BA,IPP Non-CHP,2,9.9,9.9,9.9,4,2020,9.9,9.9,9.9,LIB,,,,9.9,CS,,Y,,,,,,,,,
60387,"Townsite Solar, LLC",60654,Townsite Solar Project Hybrid,NV,Clark,GEN02,OP,Batteries,BA,IPP Non-CHP,2,90.0,90.0,90.0,12,2021,360,90,90,LIB,,,,210,CS,Y,Y,,Y,Y,,,,Y,,Y
65549,McHenry Battery Storage,60656,McHenry Battery Storage,IL,McHenry,MCH1,OP,Batteries,BA,IPP Non-CHP,2,19.8,19.8,19.8,2,2016,7.8,19.8,19.8,LIB,,,,6.1,CS,,Y,,,,,,,,,
60394,"Willey Battery Utility, LLC",60660,Willey Battery Utility,OH,Hamilton,WBU,OP,Batteries,BA,IPP Non-CHP,2,6.0,6.0,6.0,1,2016,2,6,6,LIB,,,,6,CS,,Y,,,,,,,,,
17609,Southern California Edison Co,60661,Mira Loma Energy Storage Facility,CA,San Bernardino,013A,OP,Batteries,BA,Electric Utility,1,10.0,10.0,10.0,12,2016,40,10,10,LIB,,,,3.3,CS,Y,Y,Y,Y,,Y,Y,Y,Y,,
17609,Southern California Edison Co,60661,Mira Loma Energy Storage Facility,CA,San Bernardino,013B,OP,Batteries,BA,Electric Utility,1,10.0,10.0,10.0,12,2016,40,10,10,LIB,,,,3.3,CS,Y,Y,Y,Y,,Y,Y,Y,Y,,
60409,"Blue Summit Storage, LLC",60690,"Blue Summit Storage, LLC",TX,Wilbarger,WBSS,OP,Batteries,BA,IPP Non-CHP,2,30.0,30.0,30.0,8,2017,12.6,30,30,LIB,,,,12.5,CS,,Y,,,,,,,,,
20323,"Wellhead Services, Inc",60698,Stanton Energy Reliability Center Hybrid,CA,Orange,BESS1,OP,Batteries,BA,IPP Non-CHP,2,10.0,10.0,10.0,8,2020,4.5,10,10,LIB,,,,0,CS,,Y,Y,Y,,,,,,,
20323,"Wellhead Services, Inc",60698,Stanton Energy Reliability Center Hybrid,CA,Orange,BESS2,OP,Batteries,BA,IPP Non-CHP,2,10.0,10.0,10.0,8,2020,4.5,10,10,LIB,,,,0,CS,,Y,Y,Y,,,,,,,
17609,Southern California Edison Co,60699,DESI-1 Battery Energy Storage Facility,CA,Orange,DESI1,OP,Batteries,BA,Electric Utility,1,2.4,2.4,2.4,12,2016,3.9,2.4,2.4,LIB,,,,2.4,CS,,,,,,Y,,,,,
61198,esVolta LP,60760,PPA Grand,CA,Orange,PE101,OP,Batteries,BA,IPP Non-CHP,2,2.0,2.0,2.0,12,2016,8,2,2,LIB,,,,2,BL,Y,Y,,,,,,,,,
60947,Tesla Inc.,60815,Hampshire College Hybrid,MA,Hampshire,BA1,OP,Batteries,BA,IPP Non-CHP,2,0.5,0.5,0.5,5,2017,0.5,0.3,0.3,LIB,,,,0.3,CS,,,,,,,Y,,,Y,Y
60947,Tesla Inc.,60815,Hampshire College Hybrid,MA,Hampshire,BA2,OP,Batteries,BA,IPP Non-CHP,2,0.5,0.5,0.5,12,2017,0.5,0.3,0.3,LIB,,,,0.3,CS,,,,,,,Y,,,Y,Y
60471,"Mt. Tom Solar, LLC",60906,Mt. Tom Solar Project Hybrid,MA,Hampden,BA1,OP,Batteries,BA,IPP Non-CHP,2,3.1,3.1,3.1,3,2019,6.1,2,3.1,LIB,,,,2.3,CS,,,,,,,,Y,,,Y
58375,Sterling Municipal Light Department,60959,Chocksett Rd Energy Storage Project,MA,Worcester,BA1,OP,Batteries,BA,Electric Utility,1,2.0,2.0,2.0,4,2017,3.9,2,2,LIB,,,,1,CS,Y,,,,N,Y,Y,Y,,Y,
7294,City of Glendale - (CA),60974,Glendale Battery Energy Storage System,CA,Los Angeles,2BESS,OP,Batteries,BA,Electric Utility,1,2.0,2.0,2.0,10,2017,1,1,2,LIB,,,,2,CS,,,,,,Y,,,,,
56215,"RWE Renewables Americas, LLC",60996,Iron Horse Battery Storage Hybrid,AZ,Pima,BA1,OP,Batteries,BA,IPP Non-CHP,2,10.0,10.0,10.0,4,2017,2.5,10,10,LIB,,,,10,CS,,Y,,,,,,,,,Y
